Assortments,,,,,,,,,,,,,,,Prediction values,,,,,,,,,,,,,,
A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043351636,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.033319892,0,0,0.043371394,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.026111506,0,0,0.039739799,0,0,0.021856692,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.024836708,0,0,0.034209311,0,0,0.019006323,0,0,0.040835682,0,0,0
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.023587255,0,0,0.030196425,0,0,0.016574139,0,0,0.023568226,0,0,0.049546968
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.171303933,0,0,0,0.023124764,0,0,0.007764266,0,0,0.009727632,0,0,0.019290703
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.151043863,0,0,0.069037718,0,0,0,0.007599083,0,0,0.008644148,0,0,0.016562294
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.10511738,0,0,0.056541505,0,0,0.106513669,0,0,0,0.007702454,0,0,0.015586411
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.096230194,0,0,0.051974365,0,0,0.087975675,0,0,0.050607262,0,0,0,0.015129595
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.084668594,0,0,0.046463226,0,0,0.065548137,0,0,0.025137289,0,0,0.107158357,0
1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.35129091,0,0,0,0.030810705,0,0,0.048559353,0,0,0.013094974,0,0,0.055235652,0
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.262997057,0,0,0.295181694,0,0,0.319870206,0,0,0,0.010509016,0,0,0.041766826,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.123854563,0,0,0.283648436,0,0,0.244204027,0,0,0.290772939,0,0,0,0.036599701,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.080343243,0,0,0.273402882,0,0,0.221620966,0,0,0.144990065,0,0,0.26445329,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.273462934,0,0,0.480732991,0,0,0,0.027583637,0,0,0.011094968,0,0,0.043944509,0
